model,tau_c,distance,p_0,rate,stderr
sum_of_ou,10.3589,3,0.0062,0.05253666666666666,0.0007064158940466093
sum_of_ou,10.3589,5,0.002,0.004285,9.403430046759284e-05
sum_of_ou,10.3589,5,0.0026,0.009231666666666666,0.00015964685346890026
sum_of_ou,10.3589,5,0.0032,0.01608833333333333,0.00025958296302055236
sum_of_ou,10.3589,5,0.0038,0.02568333333333333,0.0003344388825251457
sum_of_ou,10.3589,5,0.0044,0.038318333333333336,0.0005108766463640212
sum_of_ou,10.3589,5,0.0052,0.05766166666666666,0.0007201911281036822
sum_of_ou,10.3589,5,0.0062,0.08522499999999998,0.0008514455073001242
sum_of_ou,27.7899,3,0.002,0.007008333333333333,0.00017919495380465638
sum_of_ou,27.7899,3,0.0026,0.011125000000000001,0.00023927498151399675
sum_of_ou,27.7899,3,0.0032,0.016966666666666665,0.00030259565635570396
sum_of_ou,27.7899,3,0.0038,0.02295333333333333,0.0004253396239181926
sum_of_ou,27.7899,3,0.0044,0.030129999999999994,0.0005180074973760589
sum_of_ou,27.7899,3,0.0052,0.038678333333333335,0.0006476309290663708
sum_of_ou,27.7899,3,0.0062,0.05548333333333333,0.0009492481030915827
sum_of_ou,27.7899,5,0.002,0.0042116666666666665,0.000117528060019179
sum_of_ou,27.7899,5,0.0026,0.009260000000000001,0.0001831992594965642
sum_of_ou,27.7899,5,0.0032,0.016273333333333334,0.0002634879052476266
sum_of_ou,27.7899,5,0.0038,0.025445,0.000427866501059976
sum_of_ou,27.7899,5,0.0044,0.037393333333333334,0.0005313512525784652
sum_of_ou,27.7899,5,0.0052,0.05817333333333334,0.0008701035792524299
sum_of_ou,27.7899,5,0.0062,0.08695166666666665,0.0011222074380121988
sum_of_ou,74.5519,3,0.002,0.006956666666666666,0.00015904403078569398
sum_of_ou,74.5519,3,0.0026,0.011498333333333333,0.00025307390608051946
sum_of_ou,74.5519,3,0.0032,0.016893333333333333,0.0003223267849578556
sum_of_ou,74.5519,3,0.0038,0.022338333333333328,0.000393075812449186
sum_of_ou,74.5519,3,0.0044,0.029345,0.0005933433406641676
sum_of_ou,74.5519,3,0.0052,0.039235000000000006,0.0007568450868299357
sum_of_ou,74.5519,3,0.0062,0.053828333333333325,0.000957497602717388
sum_of_ou,74.5519,5,0.002,0.004363333333333334,0.00011790458610380775
sum_of_ou,74.5519,5,0.0026,0.008901666666666667,0.00020443757992723015
sum_of_ou,74.5519,5,0.0032,0.01669833333333333,0.0003250735303729641
sum_of_ou,74.5519,5,0.0038,0.025466666666666665,0.00041429076526090027
sum_of_ou,74.5519,5,0.0044,0.038143333333333335,0.0006536523897926029
sum_of_ou,74.5519,5,0.0052,0.05653333333333334,0.0009132496818270435
sum_of_ou,74.5519,5,0.0062,0.08512333333333333,0.0010960824756548811
sum_of_ou,200,3,0.002,0.006878333333333333,0.00017113806236706424
sum_of_ou,200,3,0.0026,0.011396666666666666,0.00025701768611689535
sum_of_ou,200,3,0.0032,0.01697833333333333,0.000361112628345347
sum_of_ou,200,3,0.0038,0.02264,0.00048230129731011986
sum_of_ou,200,3,0.0044,0.029790000000000004,0.0006021915605645869
sum_of_ou,200,3,0.0052,0.039005,0.0006901085655277473
sum_of_ou,200,3,0.0062,0.051856666666666676,0.0009951401671495438
sum_of_ou,200,5,0.002,0.004508333333333334,0.00011627651285709986
sum_of_ou,200,5,0.0026,0.009186666666666668,0.00020509705601563102
sum_of_ou,200,5,0.0032,0.01604,0.0003126623068436702
sum_of_ou,200,5,0.0038,0.025699999999999997,0.0004733265588575297
sum_of_ou,200,5,0.0044,0.03696833333333333,0.0006942247243755997
sum_of_ou,200,5,0.0052,0.054628333333333334,0.0008510446819694173
sum_of_ou,200,5,0.0062,0.08679166666666667,0.0011344030762030885
